FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012H001,PCT012H002,PCT012H003,PCT012H004,PCT012H005,PCT012H006,PCT012H007,PCT012H008,PCT012H009,PCT012H010,PCT012H011,PCT012H012,PCT012H013,PCT012H014,PCT012H015,PCT012H016,PCT012H017,PCT012H018,PCT012H019,PCT012H020,PCT012H021,PCT012H022,PCT012H023,PCT012H024,PCT012H025,PCT012H026,PCT012H027,PCT012H028,PCT012H029,PCT012H030,PCT012H031,PCT012H032,PCT012H033,PCT012H034,PCT012H035,PCT012H036,PCT012H037,PCT012H038,PCT012H039,PCT012H040,PCT012H041,PCT012H042,PCT012H043,PCT012H044,PCT012H045,PCT012H046,PCT012H047,PCT012H048,PCT012H049,PCT012H050,PCT012H051,PCT012H052,PCT012H053,PCT012H054,PCT012H055,PCT012H056,PCT012H057,PCT012H058,PCT012H059,PCT012H060,PCT012H061,PCT012H062,PCT012H063,PCT012H064,PCT012H065,PCT012H066,PCT012H067,PCT012H068,PCT012H069,PCT012H070,PCT012H071,PCT012H072,PCT012H073,PCT012H074,PCT012H075,PCT012H076,PCT012H077,PCT012H078,PCT012H079,PCT012H080,PCT012H081,PCT012H082,PCT012H083,PCT012H084,PCT012H085,PCT012H086,PCT012H087,PCT012H088,PCT012H089,PCT012H090,PCT012H091,PCT012H092,PCT012H093,PCT012H094,PCT012H095,PCT012H096,PCT012H097,PCT012H098,PCT012H099,PCT012H100,PCT012H101,PCT012H102,PCT012H103,PCT012H104,PCT012H105,PCT012H106,PCT012H107,PCT012H108,PCT012H109,PCT012H110,PCT012H111,PCT012H112,PCT012H113,PCT012H114,PCT012H115,PCT012H116,PCT012H117,PCT012H118,PCT012H119,PCT012H120,PCT012H121,PCT012H122,PCT012H123,PCT012H124,PCT012H125,PCT012H126,PCT012H127,PCT012H128,PCT012H129,PCT012H130,PCT012H131,PCT012H132,PCT012H133,PCT012H134,PCT012H135,PCT012H136,PCT012H137,PCT012H138,PCT012H139,PCT012H140,PCT012H141,PCT012H142,PCT012H143,PCT012H144,PCT012H145,PCT012H146,PCT012H147,PCT012H148,PCT012H149,PCT012H150,PCT012H151,PCT012H152,PCT012H153,PCT012H154,PCT012H155,PCT012H156,PCT012H157,PCT012H158,PCT012H159,PCT012H160,PCT012H161,PCT012H162,PCT012H163,PCT012H164,PCT012H165,PCT012H166,PCT012H167,PCT012H168,PCT012H169,PCT012H170,PCT012H171,PCT012H172,PCT012H173,PCT012H174,PCT012H175,PCT012H176,PCT012H177,PCT012H178,PCT012H179,PCT012H180,PCT012H181,PCT012H182,PCT012H183,PCT012H184,PCT012H185,PCT012H186,PCT012H187,PCT012H188,PCT012H189,PCT012H190,PCT012H191,PCT012H192,PCT012H193,PCT012H194,PCT012H195,PCT012H196,PCT012H197,PCT012H198,PCT012H199,PCT012H200,PCT012H201,PCT012H202,PCT012H203,PCT012H204,PCT012H205,PCT012H206,PCT012H207,PCT012H208,PCT012H209
uSF1,TX,000,36,602162,285290,150725,3866,3629,3531,3404,3247,3125,3193,3094,3100,2926,2862,2735,2581,2571,2438,2438,2600,2934,3082,3188,3277,3320,3407,3339,3354,3585,3261,3330,3335,3172,3369,2977,2968,2857,2969,2905,2743,2567,2497,2349,2201,1863,1950,1698,1635,1527,1369,1317,1146,1124,1105,962,892,905,746,746,642,567,517,494,489,424,414,365,314,356,279,239,233,238,208,210,189,145,153,137,117,98,87,84,71,47,59,36,38,31,35,19,13,15,8,7,14,5,4,3,2,2,2,1,3,0,0,134565,3673,3473,3271,3198,3201,3067,3046,2985,2961,2967,2838,2731,2499,2508,2268,2439,2299,2407,2450,2460,2576,2572,2652,2741,2775,2797,2783,2776,2817,2803,2768,2580,2365,2384,2429,2338,2201,2059,1967,1925,1875,1619,1549,1496,1471,1400,1240,1194,1093,1080,969,872,912,839,761,696,642,609,494,498,478,450,390,400,393,367,312,322,274,248,270,241,211,203,190,186,159,147,138,130,119,70,82,62,54,52,41,32,58,38,16,18,15,10,5,9,3,6,4,1,1,0,2
uSF1,TX,000,36,602163,71305,37693,1020,955,921,868,833,813,833,763,731,751,643,659,579,578,489,520,559,682,721,860,859,877,930,956,908,1029,889,885,919,858,909,837,807,809,786,779,707,694,619,563,533,422,423,429,392,338,342,296,268,253,243,217,236,211,130,165,134,109,109,98,102,94,82,73,65,76,58,36,38,40,26,23,27,30,23,25,23,15,14,15,8,10,10,7,5,5,3,3,1,3,0,1,2,0,2,0,0,0,0,1,1,0,0,33612,1003,888,884,831,842,829,774,746,752,738,698,651,568,591,522,574,493,532,648,641,668,703,725,708,773,778,799,812,817,776,777,705,636,596,611,587,566,572,505,468,446,383,376,356,323,307,278,250,249,232,202,211,194,184,171,152,145,127,93,118,98,96,60,69,86,54,43,61,52,44,33,29,25,34,20,25,31,22,22,13,16,13,7,14,7,13,10,2,10,5,4,2,5,2,1,0,0,0,0,0,0,0,0
uSF1,TX,000,36,607260,172404,91324,2319,2165,2082,2057,2007,1902,1921,1909,1922,1781,1793,1678,1614,1608,1604,1541,1640,1850,1933,1921,2007,1996,2029,1971,1963,2077,1939,1917,1898,1820,1983,1675,1741,1615,1739,1658,1625,1478,1487,1403,1338,1110,1191,1021,1025,946,816,815,706,709,703,573,519,566,514,458,417,381,341,331,322,265,273,235,211,236,187,161,164,167,162,158,142,97,116,100,84,70,62,59,52,33,42,26,31,24,27,14,9,11,6,6,9,4,1,3,2,2,2,0,1,0,0,81080,2198,2101,1948,1928,1888,1819,1872,1819,1792,1797,1715,1712,1567,1554,1408,1550,1461,1548,1484,1475,1575,1548,1559,1655,1660,1632,1612,1610,1608,1561,1566,1499,1370,1406,1398,1359,1230,1161,1093,1104,1098,931,904,880,884,846,723,740,650,688,584,528,561,522,481,435,404,387,331,316,308,287,271,280,248,257,229,217,185,164,205,176,159,156,145,137,111,108,100,109,90,47,62,39,40,33,23,26,38,31,11,14,9,7,3,9,2,5,2,0,0,0,2
uSF1,TX,000,36,621345,41581,21708,527,509,528,479,407,410,439,422,447,394,426,398,388,385,345,377,401,402,428,407,411,447,448,412,483,479,433,528,518,494,477,465,420,433,444,468,411,395,391,383,330,331,336,248,218,243,211,206,172,162,159,172,137,128,102,123,91,77,67,65,65,65,59,57,38,44,34,42,31,31,20,29,20,18,14,12,10,13,11,10,11,4,7,3,2,2,5,2,3,1,2,0,3,1,1,0,0,0,0,0,1,0,0,19873,472,484,439,439,471,419,400,420,417,432,425,368,364,363,338,315,345,327,318,344,333,321,368,378,342,387,372,354,392,466,425,376,359,382,420,392,405,326,369,353,331,305,269,260,264,247,239,204,194,160,183,133,157,133,109,109,93,95,70,64,72,67,59,51,59,56,40,44,37,40,32,36,27,13,25,24,17,17,16,8,13,10,13,9,7,6,8,4,10,2,1,2,1,1,1,0,1,1,2,1,1,0,0
uSF1,TX,000,36,627593,2593,1427,37,33,30,42,32,32,25,35,32,25,25,25,26,13,23,20,23,24,27,20,34,33,34,35,34,29,39,36,32,29,30,19,38,22,39,25,26,27,43,20,20,12,17,15,12,21,13,9,11,11,12,10,9,7,5,8,7,9,3,4,7,2,5,5,3,3,3,2,0,2,1,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,27,36,25,24,33,39,33,33,28,31,24,25,16,24,26,20,16,21,21,17,17,20,30,22,28,24,23,33,23,26,29,20,23,20,8,21,16,14,16,19,10,14,11,12,14,8,13,7,10,11,12,5,6,5,11,3,9,5,5,7,3,1,2,1,1,3,1,1,3,2,1,0,2,0,1,3,0,2,1,0,0,3,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,2893,1581,52,36,48,39,19,38,26,37,36,25,25,27,17,23,26,33,31,40,36,34,38,44,43,35,42,42,38,46,36,34,36,30,22,37,25,26,20,24,19,24,23,19,19,11,17,19,12,14,9,10,14,8,9,10,9,9,4,7,7,3,4,4,5,1,3,2,4,1,3,0,3,2,2,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,38,36,29,29,39,34,24,27,40,30,24,20,24,33,29,29,18,34,27,27,27,26,29,28,23,26,35,29,27,23,28,28,24,22,23,21,16,26,14,17,19,9,11,10,16,7,13,11,13,10,5,8,2,9,7,6,6,6,7,4,1,8,6,4,3,2,2,3,3,3,1,2,2,1,1,1,0,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,3473,1901,41,44,49,37,32,29,47,44,42,28,44,38,28,36,38,32,29,43,64,40,56,46,41,39,45,44,35,26,41,38,34,32,42,30,21,40,45,35,26,25,25,24,22,19,26,15,21,21,20,8,13,5,8,17,9,4,6,9,9,2,6,6,6,10,7,4,8,3,4,3,4,5,2,0,3,3,2,2,1,1,3,1,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1572,40,34,31,35,42,29,36,37,44,37,38,36,41,35,18,42,38,29,32,34,25,31,20,26,27,32,28,30,30,25,32,19,28,27,30,30,22,23,25,22,21,19,16,16,14,12,8,13,23,15,14,5,18,6,9,10,7,7,4,12,14,6,2,8,4,3,4,1,4,2,3,6,3,2,0,3,1,3,0,2,3,1,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,4686,2582,66,54,63,48,53,43,63,52,50,32,46,48,54,43,49,43,49,55,61,83,57,61,68,45,54,38,43,52,30,49,50,40,40,47,45,42,55,44,40,42,22,35,35,31,25,25,27,22,25,19,20,18,17,24,14,19,16,12,14,18,15,11,10,9,8,12,4,7,10,10,4,5,10,3,4,5,2,1,4,0,3,2,1,0,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2104,54,55,40,39,51,42,47,52,40,36,36,50,46,39,41,41,40,50,45,38,48,48,33,37,37,39,33,38,31,42,36,19,37,35,26,25,29,21,25,25,32,26,26,23,23,20,21,22,16,19,20,20,16,17,18,19,20,12,9,10,10,9,10,11,15,10,6,8,7,2,9,5,1,5,7,6,9,4,3,8,4,2,0,3,1,2,3,1,0,2,2,1,1,0,0,1,0,1,0,0,0,0,0
uSF1,TX,000,36,627618,3775,2055,48,48,35,53,31,37,42,36,39,38,44,42,46,37,39,48,37,55,31,33,57,48,53,41,50,36,49,31,40,38,50,43,36,37,31,33,31,31,25,28,37,23,23,25,20,25,12,22,18,17,15,11,9,10,14,15,17,10,9,10,5,12,9,10,1,8,3,4,4,4,5,5,3,5,5,2,3,4,2,2,1,2,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1720,46,47,39,40,38,42,38,38,39,34,34,33,36,36,34,45,32,30,43,39,21,26,28,33,36,31,27,30,23,35,40,24,30,23,27,20,30,26,21,19,16,16,13,12,22,7,18,14,17,14,15,11,14,12,19,12,6,8,6,5,10,10,8,4,8,8,3,5,6,6,7,4,4,9,4,4,6,6,9,6,0,5,3,0,3,3,0,3,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0
uSF1,TX,000,36,627624,7283,3834,99,81,63,64,74,76,66,72,83,76,78,62,65,70,79,79,74,88,81,80,86,77,86,65,88,85,68,74,72,75,84,60,65,69,77,72,72,56,66,55,64,49,55,49,50,22,37,45,34,32,34,25,30,30,29,21,14,20,18,14,22,11,15,17,13,16,5,7,8,8,13,7,6,5,7,4,7,2,4,6,2,0,2,2,3,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3449,94,72,88,54,70,64,83,70,58,82,76,80,74,71,70,72,89,85,59,65,71,78,51,76,48,63,59,58,59,47,61,49,64,59,46,49,54,46,51,46,43,38,42,36,41,34,52,29,28,29,31,24,34,36,25,20,23,17,16,16,18,13,11,16,14,15,14,3,11,10,14,11,10,7,6,7,12,3,4,7,4,1,2,0,3,1,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
