FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012K001,PCT012K002,PCT012K003,PCT012K004,PCT012K005,PCT012K006,PCT012K007,PCT012K008,PCT012K009,PCT012K010,PCT012K011,PCT012K012,PCT012K013,PCT012K014,PCT012K015,PCT012K016,PCT012K017,PCT012K018,PCT012K019,PCT012K020,PCT012K021,PCT012K022,PCT012K023,PCT012K024,PCT012K025,PCT012K026,PCT012K027,PCT012K028,PCT012K029,PCT012K030,PCT012K031,PCT012K032,PCT012K033,PCT012K034,PCT012K035,PCT012K036,PCT012K037,PCT012K038,PCT012K039,PCT012K040,PCT012K041,PCT012K042,PCT012K043,PCT012K044,PCT012K045,PCT012K046,PCT012K047,PCT012K048,PCT012K049,PCT012K050,PCT012K051,PCT012K052,PCT012K053,PCT012K054,PCT012K055,PCT012K056,PCT012K057,PCT012K058,PCT012K059,PCT012K060,PCT012K061,PCT012K062,PCT012K063,PCT012K064,PCT012K065,PCT012K066,PCT012K067,PCT012K068,PCT012K069,PCT012K070,PCT012K071,PCT012K072,PCT012K073,PCT012K074,PCT012K075,PCT012K076,PCT012K077,PCT012K078,PCT012K079,PCT012K080,PCT012K081,PCT012K082,PCT012K083,PCT012K084,PCT012K085,PCT012K086,PCT012K087,PCT012K088,PCT012K089,PCT012K090,PCT012K091,PCT012K092,PCT012K093,PCT012K094,PCT012K095,PCT012K096,PCT012K097,PCT012K098,PCT012K099,PCT012K100,PCT012K101,PCT012K102,PCT012K103,PCT012K104,PCT012K105,PCT012K106,PCT012K107,PCT012K108,PCT012K109,PCT012K110,PCT012K111,PCT012K112,PCT012K113,PCT012K114,PCT012K115,PCT012K116,PCT012K117,PCT012K118,PCT012K119,PCT012K120,PCT012K121,PCT012K122,PCT012K123,PCT012K124,PCT012K125,PCT012K126,PCT012K127,PCT012K128,PCT012K129,PCT012K130,PCT012K131,PCT012K132,PCT012K133,PCT012K134,PCT012K135,PCT012K136,PCT012K137,PCT012K138,PCT012K139,PCT012K140,PCT012K141,PCT012K142,PCT012K143,PCT012K144,PCT012K145,PCT012K146,PCT012K147,PCT012K148,PCT012K149,PCT012K150,PCT012K151,PCT012K152,PCT012K153,PCT012K154,PCT012K155,PCT012K156,PCT012K157,PCT012K158,PCT012K159,PCT012K160,PCT012K161,PCT012K162,PCT012K163,PCT012K164,PCT012K165,PCT012K166,PCT012K167,PCT012K168,PCT012K169,PCT012K170,PCT012K171,PCT012K172,PCT012K173,PCT012K174,PCT012K175,PCT012K176,PCT012K177,PCT012K178,PCT012K179,PCT012K180,PCT012K181,PCT012K182,PCT012K183,PCT012K184,PCT012K185,PCT012K186,PCT012K187,PCT012K188,PCT012K189,PCT012K190,PCT012K191,PCT012K192,PCT012K193,PCT012K194,PCT012K195,PCT012K196,PCT012K197,PCT012K198,PCT012K199,PCT012K200,PCT012K201,PCT012K202,PCT012K203,PCT012K204,PCT012K205,PCT012K206,PCT012K207,PCT012K208,PCT012K209
uSF1,TX,000,36,602162,5971,2974,36,33,37,43,53,43,33,36,54,49,47,39,43,49,37,39,42,52,36,50,46,58,51,43,49,59,42,43,43,61,54,42,35,54,62,57,65,62,57,53,61,49,63,48,60,48,51,41,46,45,41,38,49,39,35,22,37,31,28,25,23,20,23,13,17,13,10,14,14,9,10,7,7,4,6,6,5,5,3,1,4,3,2,2,0,3,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2997,36,35,44,33,32,39,32,45,35,34,52,37,32,41,47,49,44,38,35,55,40,58,43,32,56,56,49,51,67,51,46,55,54,39,53,67,52,65,61,61,73,46,68,75,59,53,43,46,44,45,43,33,37,45,32,28,31,30,25,22,17,23,23,18,15,12,11,12,12,13,13,8,7,4,11,10,8,6,4,5,3,7,8,1,2,3,1,2,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0
uSF1,TX,000,36,602163,1677,821,10,6,10,11,12,10,8,10,11,14,14,11,16,9,6,9,7,11,11,14,13,20,10,15,18,15,16,10,12,27,19,8,12,15,16,16,18,14,15,18,14,16,15,15,31,16,15,8,16,11,10,6,15,10,7,11,10,6,7,6,6,4,6,2,9,1,3,4,6,0,1,1,1,1,2,3,2,0,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,11,12,18,8,11,11,8,13,13,8,13,9,7,10,14,9,14,12,8,17,12,13,12,9,11,20,19,14,22,17,18,15,12,13,12,13,20,18,19,19,23,13,19,26,25,17,13,12,14,16,12,10,8,14,9,10,9,8,4,5,3,6,4,4,1,3,3,2,3,5,3,1,2,2,2,2,3,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,607260,2399,1186,14,13,18,13,16,15,12,13,17,25,14,16,11,19,20,14,26,24,12,21,19,24,24,14,17,30,15,21,15,19,19,17,15,21,23,22,25,20,27,20,23,16,29,21,13,18,26,21,17,16,18,17,17,13,13,7,11,12,12,11,11,7,14,7,6,6,6,5,5,8,8,3,3,2,3,2,3,5,0,0,2,3,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1213,14,18,16,12,16,11,12,17,12,12,24,13,16,15,21,18,13,14,15,19,18,30,19,16,29,21,16,22,25,17,15,18,27,15,26,37,21,23,27,27,18,15,26,25,13,21,17,21,20,14,15,12,12,19,10,10,10,14,12,9,8,13,14,7,6,5,3,6,7,8,7,5,4,1,6,5,5,3,3,4,1,5,7,0,2,3,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
uSF1,TX,000,36,621345,1895,967,12,14,9,19,25,18,13,13,26,10,19,12,16,21,11,16,9,17,13,15,14,14,17,14,14,14,11,12,16,15,16,17,8,18,23,19,22,28,15,15,24,17,19,12,16,14,10,12,13,18,13,15,17,16,15,4,16,13,9,8,6,9,3,4,2,6,1,5,3,1,1,3,3,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,928,11,5,10,13,5,17,12,15,10,14,15,15,9,16,12,22,17,12,12,19,10,15,12,7,16,15,14,15,20,17,13,22,15,11,15,17,11,24,15,15,32,18,23,24,21,15,13,13,10,15,16,11,17,12,13,8,12,8,9,8,6,4,5,7,8,4,5,4,2,0,3,2,1,1,3,3,0,3,0,0,1,1,1,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627593,20,12,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,22,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,12,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,19,12,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
