FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012L001,PCT012L002,PCT012L003,PCT012L004,PCT012L005,PCT012L006,PCT012L007,PCT012L008,PCT012L009,PCT012L010,PCT012L011,PCT012L012,PCT012L013,PCT012L014,PCT012L015,PCT012L016,PCT012L017,PCT012L018,PCT012L019,PCT012L020,PCT012L021,PCT012L022,PCT012L023,PCT012L024,PCT012L025,PCT012L026,PCT012L027,PCT012L028,PCT012L029,PCT012L030,PCT012L031,PCT012L032,PCT012L033,PCT012L034,PCT012L035,PCT012L036,PCT012L037,PCT012L038,PCT012L039,PCT012L040,PCT012L041,PCT012L042,PCT012L043,PCT012L044,PCT012L045,PCT012L046,PCT012L047,PCT012L048,PCT012L049,PCT012L050,PCT012L051,PCT012L052,PCT012L053,PCT012L054,PCT012L055,PCT012L056,PCT012L057,PCT012L058,PCT012L059,PCT012L060,PCT012L061,PCT012L062,PCT012L063,PCT012L064,PCT012L065,PCT012L066,PCT012L067,PCT012L068,PCT012L069,PCT012L070,PCT012L071,PCT012L072,PCT012L073,PCT012L074,PCT012L075,PCT012L076,PCT012L077,PCT012L078,PCT012L079,PCT012L080,PCT012L081,PCT012L082,PCT012L083,PCT012L084,PCT012L085,PCT012L086,PCT012L087,PCT012L088,PCT012L089,PCT012L090,PCT012L091,PCT012L092,PCT012L093,PCT012L094,PCT012L095,PCT012L096,PCT012L097,PCT012L098,PCT012L099,PCT012L100,PCT012L101,PCT012L102,PCT012L103,PCT012L104,PCT012L105,PCT012L106,PCT012L107,PCT012L108,PCT012L109,PCT012L110,PCT012L111,PCT012L112,PCT012L113,PCT012L114,PCT012L115,PCT012L116,PCT012L117,PCT012L118,PCT012L119,PCT012L120,PCT012L121,PCT012L122,PCT012L123,PCT012L124,PCT012L125,PCT012L126,PCT012L127,PCT012L128,PCT012L129,PCT012L130,PCT012L131,PCT012L132,PCT012L133,PCT012L134,PCT012L135,PCT012L136,PCT012L137,PCT012L138,PCT012L139,PCT012L140,PCT012L141,PCT012L142,PCT012L143,PCT012L144,PCT012L145,PCT012L146,PCT012L147,PCT012L148,PCT012L149,PCT012L150,PCT012L151,PCT012L152,PCT012L153,PCT012L154,PCT012L155,PCT012L156,PCT012L157,PCT012L158,PCT012L159,PCT012L160,PCT012L161,PCT012L162,PCT012L163,PCT012L164,PCT012L165,PCT012L166,PCT012L167,PCT012L168,PCT012L169,PCT012L170,PCT012L171,PCT012L172,PCT012L173,PCT012L174,PCT012L175,PCT012L176,PCT012L177,PCT012L178,PCT012L179,PCT012L180,PCT012L181,PCT012L182,PCT012L183,PCT012L184,PCT012L185,PCT012L186,PCT012L187,PCT012L188,PCT012L189,PCT012L190,PCT012L191,PCT012L192,PCT012L193,PCT012L194,PCT012L195,PCT012L196,PCT012L197,PCT012L198,PCT012L199,PCT012L200,PCT012L201,PCT012L202,PCT012L203,PCT012L204,PCT012L205,PCT012L206,PCT012L207,PCT012L208,PCT012L209
uSF1,TX,000,36,602162,52057,26055,387,378,407,441,389,462,399,384,375,393,388,390,393,352,426,397,429,457,410,385,400,410,376,522,577,535,611,598,590,601,615,562,522,497,452,484,457,514,446,471,420,427,441,407,435,401,355,378,334,328,337,299,270,275,242,215,199,195,171,157,138,124,143,113,89,89,103,79,68,87,76,55,42,43,32,29,28,25,27,13,13,13,15,9,3,7,6,1,4,4,2,2,0,0,0,3,0,1,0,0,1,0,0,26002,397,397,414,373,379,405,368,409,382,368,345,397,390,368,368,362,390,368,417,354,386,362,381,462,496,548,563,592,581,591,614,559,481,485,476,467,473,456,447,480,462,447,431,421,431,387,369,427,355,395,392,336,324,292,232,220,209,194,154,170,129,151,140,115,117,87,86,120,94,82,86,83,63,49,60,54,32,39,40,30,23,18,15,13,9,12,9,7,9,2,4,1,13,1,3,0,2,3,2,0,0,0,0
uSF1,TX,000,36,602163,22126,11268,174,174,181,180,174,199,164,154,150,160,155,173,164,132,166,166,177,190,174,177,201,208,184,282,309,262,297,287,250,260,271,239,227,211,189,202,208,208,209,181,174,173,176,153,163,185,154,162,142,143,134,117,104,103,98,84,66,71,77,86,56,64,71,45,37,36,38,33,25,37,28,23,20,16,15,13,11,10,11,5,7,6,7,4,3,4,1,0,2,2,1,0,0,0,0,2,0,1,0,0,0,0,0,10858,171,160,162,154,165,145,146,166,184,161,141,169,173,158,158,146,161,163,180,182,185,164,180,208,221,246,246,269,253,258,256,227,193,200,216,181,186,199,203,191,189,175,154,175,172,163,146,167,146,139,143,118,150,90,87,89,88,81,68,65,48,66,58,50,45,35,31,44,39,34,29,31,26,19,25,24,14,17,13,13,8,12,7,7,4,5,3,3,1,2,3,1,4,0,0,0,1,3,1,0,0,0,0
uSF1,TX,000,36,607260,14190,6942,95,80,116,126,96,118,104,96,102,90,90,88,96,95,112,87,111,118,130,103,103,99,98,130,139,151,168,182,186,188,169,169,142,136,132,132,121,122,96,127,108,105,119,94,106,81,91,96,80,83,90,82,72,81,76,65,68,63,46,36,44,29,41,33,32,27,36,29,24,30,22,16,13,13,10,5,10,9,7,4,4,4,2,2,0,0,4,0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,7248,109,118,102,105,81,113,93,97,80,96,90,107,98,98,92,91,101,88,125,94,104,117,125,145,151,160,152,165,164,181,167,170,137,134,99,114,117,108,100,127,110,118,123,98,123,106,97,115,94,121,125,114,93,116,74,75,63,56,52,58,48,46,54,35,40,24,29,46,32,24,35,30,20,15,16,22,6,13,16,8,7,4,3,4,5,1,4,1,4,0,0,0,7,1,1,0,1,0,0,0,0,0,0
uSF1,TX,000,36,621345,15741,7845,118,124,110,135,119,145,131,134,123,143,143,129,133,125,148,144,141,149,106,105,96,103,94,110,129,122,146,129,154,153,175,154,153,150,131,150,128,184,141,163,138,149,146,160,166,135,110,120,112,102,113,100,94,91,68,66,65,61,48,35,38,31,31,35,20,26,29,17,19,20,26,16,9,14,7,11,7,6,9,4,2,3,6,3,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7896,117,119,150,114,133,147,129,146,118,111,114,121,119,112,118,125,128,117,112,78,97,81,76,109,124,142,165,158,164,152,191,162,151,151,161,172,170,149,144,162,163,154,154,148,136,118,126,145,115,135,124,104,81,86,71,56,58,57,34,47,33,39,28,30,32,28,26,30,23,24,22,22,17,15,19,8,12,9,11,9,8,2,5,2,0,6,2,3,4,0,1,0,2,0,2,0,0,0,1,0,0,0,0
uSF1,TX,000,36,627593,561,301,4,3,3,7,6,4,5,9,10,2,3,2,4,2,8,7,3,3,8,8,5,6,1,6,3,7,10,4,8,5,7,3,5,2,4,3,3,2,6,6,4,2,5,11,7,5,7,2,7,8,6,6,2,0,4,4,3,2,3,1,0,2,4,0,3,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,2,6,5,4,3,6,1,9,1,5,5,9,5,4,5,4,4,6,6,5,0,5,5,5,6,3,4,7,2,4,2,5,7,7,1,3,5,1,1,7,3,3,6,3,5,4,6,1,13,2,5,2,2,3,1,1,4,3,2,2,1,1,2,0,1,0,0,1,1,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,104,52,0,1,0,0,0,1,0,0,2,2,1,1,3,2,3,0,0,1,1,0,1,0,2,0,0,0,1,2,0,0,0,2,1,1,1,2,1,2,0,1,2,0,3,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,1,0,2,0,1,1,1,0,0,0,1,2,0,2,1,1,0,1,2,0,1,2,0,0,1,3,1,0,1,2,1,0,3,0,3,1,0,1,1,2,0,0,3,0,1,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
