FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012M001,PCT012M002,PCT012M003,PCT012M004,PCT012M005,PCT012M006,PCT012M007,PCT012M008,PCT012M009,PCT012M010,PCT012M011,PCT012M012,PCT012M013,PCT012M014,PCT012M015,PCT012M016,PCT012M017,PCT012M018,PCT012M019,PCT012M020,PCT012M021,PCT012M022,PCT012M023,PCT012M024,PCT012M025,PCT012M026,PCT012M027,PCT012M028,PCT012M029,PCT012M030,PCT012M031,PCT012M032,PCT012M033,PCT012M034,PCT012M035,PCT012M036,PCT012M037,PCT012M038,PCT012M039,PCT012M040,PCT012M041,PCT012M042,PCT012M043,PCT012M044,PCT012M045,PCT012M046,PCT012M047,PCT012M048,PCT012M049,PCT012M050,PCT012M051,PCT012M052,PCT012M053,PCT012M054,PCT012M055,PCT012M056,PCT012M057,PCT012M058,PCT012M059,PCT012M060,PCT012M061,PCT012M062,PCT012M063,PCT012M064,PCT012M065,PCT012M066,PCT012M067,PCT012M068,PCT012M069,PCT012M070,PCT012M071,PCT012M072,PCT012M073,PCT012M074,PCT012M075,PCT012M076,PCT012M077,PCT012M078,PCT012M079,PCT012M080,PCT012M081,PCT012M082,PCT012M083,PCT012M084,PCT012M085,PCT012M086,PCT012M087,PCT012M088,PCT012M089,PCT012M090,PCT012M091,PCT012M092,PCT012M093,PCT012M094,PCT012M095,PCT012M096,PCT012M097,PCT012M098,PCT012M099,PCT012M100,PCT012M101,PCT012M102,PCT012M103,PCT012M104,PCT012M105,PCT012M106,PCT012M107,PCT012M108,PCT012M109,PCT012M110,PCT012M111,PCT012M112,PCT012M113,PCT012M114,PCT012M115,PCT012M116,PCT012M117,PCT012M118,PCT012M119,PCT012M120,PCT012M121,PCT012M122,PCT012M123,PCT012M124,PCT012M125,PCT012M126,PCT012M127,PCT012M128,PCT012M129,PCT012M130,PCT012M131,PCT012M132,PCT012M133,PCT012M134,PCT012M135,PCT012M136,PCT012M137,PCT012M138,PCT012M139,PCT012M140,PCT012M141,PCT012M142,PCT012M143,PCT012M144,PCT012M145,PCT012M146,PCT012M147,PCT012M148,PCT012M149,PCT012M150,PCT012M151,PCT012M152,PCT012M153,PCT012M154,PCT012M155,PCT012M156,PCT012M157,PCT012M158,PCT012M159,PCT012M160,PCT012M161,PCT012M162,PCT012M163,PCT012M164,PCT012M165,PCT012M166,PCT012M167,PCT012M168,PCT012M169,PCT012M170,PCT012M171,PCT012M172,PCT012M173,PCT012M174,PCT012M175,PCT012M176,PCT012M177,PCT012M178,PCT012M179,PCT012M180,PCT012M181,PCT012M182,PCT012M183,PCT012M184,PCT012M185,PCT012M186,PCT012M187,PCT012M188,PCT012M189,PCT012M190,PCT012M191,PCT012M192,PCT012M193,PCT012M194,PCT012M195,PCT012M196,PCT012M197,PCT012M198,PCT012M199,PCT012M200,PCT012M201,PCT012M202,PCT012M203,PCT012M204,PCT012M205,PCT012M206,PCT012M207,PCT012M208,PCT012M209
uSF1,TX,000,36,602162,2042,1027,20,23,22,15,24,29,26,24,23,35,26,19,26,25,26,18,22,21,15,22,17,19,10,19,13,18,11,13,15,11,12,16,10,17,18,23,20,12,24,18,19,10,17,15,12,11,10,12,10,13,12,11,13,8,7,6,6,6,6,4,5,2,2,8,1,1,0,4,3,2,2,2,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1015,17,25,12,30,30,22,24,16,26,25,32,26,24,20,19,30,21,12,25,17,23,19,9,14,12,15,15,16,15,18,16,12,26,22,23,22,15,11,14,12,12,17,19,16,10,14,14,12,14,5,11,11,9,8,7,4,3,3,2,8,2,2,2,4,3,2,4,4,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,602163,433,211,7,6,4,3,0,6,4,1,7,12,5,3,3,4,1,2,4,6,3,5,4,8,3,4,3,6,5,2,3,1,2,1,3,2,7,8,6,1,7,8,5,2,2,2,1,0,2,5,2,4,0,1,2,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,222,4,5,5,8,4,8,3,3,4,1,8,1,4,4,5,3,4,2,7,2,5,8,1,7,2,6,2,4,9,5,4,2,9,6,5,4,4,1,2,1,4,3,5,1,1,5,1,2,3,2,2,3,2,2,0,0,2,2,1,4,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,607260,287,144,0,6,2,2,4,0,2,7,2,2,1,2,2,2,2,5,5,1,0,4,4,5,4,5,3,3,1,5,3,2,3,1,1,1,3,3,1,1,3,2,7,0,1,1,1,1,1,0,2,1,4,2,2,1,1,3,0,0,2,0,2,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,3,2,0,3,3,0,6,2,4,3,5,2,5,1,3,4,1,3,3,4,2,4,1,2,4,1,1,1,0,3,1,1,3,4,4,1,3,3,4,2,2,2,3,2,2,1,3,2,3,0,3,2,0,2,1,1,1,0,0,1,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,621345,1322,672,13,11,16,10,20,23,20,16,14,21,20,14,21,19,23,11,13,14,12,13,9,6,3,10,7,9,5,6,9,8,7,14,6,14,8,12,13,10,14,8,7,8,14,12,10,10,7,7,6,8,8,8,9,6,5,3,5,6,4,3,2,2,2,6,0,1,0,3,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,10,18,7,19,23,14,15,11,18,21,19,23,15,15,11,23,16,7,15,11,16,7,7,5,6,8,12,11,6,10,11,9,14,12,14,17,8,7,8,9,6,12,11,13,7,8,10,8,8,3,6,6,7,4,6,3,0,1,1,3,1,1,1,3,2,2,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
