FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012N001,PCT012N002,PCT012N003,PCT012N004,PCT012N005,PCT012N006,PCT012N007,PCT012N008,PCT012N009,PCT012N010,PCT012N011,PCT012N012,PCT012N013,PCT012N014,PCT012N015,PCT012N016,PCT012N017,PCT012N018,PCT012N019,PCT012N020,PCT012N021,PCT012N022,PCT012N023,PCT012N024,PCT012N025,PCT012N026,PCT012N027,PCT012N028,PCT012N029,PCT012N030,PCT012N031,PCT012N032,PCT012N033,PCT012N034,PCT012N035,PCT012N036,PCT012N037,PCT012N038,PCT012N039,PCT012N040,PCT012N041,PCT012N042,PCT012N043,PCT012N044,PCT012N045,PCT012N046,PCT012N047,PCT012N048,PCT012N049,PCT012N050,PCT012N051,PCT012N052,PCT012N053,PCT012N054,PCT012N055,PCT012N056,PCT012N057,PCT012N058,PCT012N059,PCT012N060,PCT012N061,PCT012N062,PCT012N063,PCT012N064,PCT012N065,PCT012N066,PCT012N067,PCT012N068,PCT012N069,PCT012N070,PCT012N071,PCT012N072,PCT012N073,PCT012N074,PCT012N075,PCT012N076,PCT012N077,PCT012N078,PCT012N079,PCT012N080,PCT012N081,PCT012N082,PCT012N083,PCT012N084,PCT012N085,PCT012N086,PCT012N087,PCT012N088,PCT012N089,PCT012N090,PCT012N091,PCT012N092,PCT012N093,PCT012N094,PCT012N095,PCT012N096,PCT012N097,PCT012N098,PCT012N099,PCT012N100,PCT012N101,PCT012N102,PCT012N103,PCT012N104,PCT012N105,PCT012N106,PCT012N107,PCT012N108,PCT012N109,PCT012N110,PCT012N111,PCT012N112,PCT012N113,PCT012N114,PCT012N115,PCT012N116,PCT012N117,PCT012N118,PCT012N119,PCT012N120,PCT012N121,PCT012N122,PCT012N123,PCT012N124,PCT012N125,PCT012N126,PCT012N127,PCT012N128,PCT012N129,PCT012N130,PCT012N131,PCT012N132,PCT012N133,PCT012N134,PCT012N135,PCT012N136,PCT012N137,PCT012N138,PCT012N139,PCT012N140,PCT012N141,PCT012N142,PCT012N143,PCT012N144,PCT012N145,PCT012N146,PCT012N147,PCT012N148,PCT012N149,PCT012N150,PCT012N151,PCT012N152,PCT012N153,PCT012N154,PCT012N155,PCT012N156,PCT012N157,PCT012N158,PCT012N159,PCT012N160,PCT012N161,PCT012N162,PCT012N163,PCT012N164,PCT012N165,PCT012N166,PCT012N167,PCT012N168,PCT012N169,PCT012N170,PCT012N171,PCT012N172,PCT012N173,PCT012N174,PCT012N175,PCT012N176,PCT012N177,PCT012N178,PCT012N179,PCT012N180,PCT012N181,PCT012N182,PCT012N183,PCT012N184,PCT012N185,PCT012N186,PCT012N187,PCT012N188,PCT012N189,PCT012N190,PCT012N191,PCT012N192,PCT012N193,PCT012N194,PCT012N195,PCT012N196,PCT012N197,PCT012N198,PCT012N199,PCT012N200,PCT012N201,PCT012N202,PCT012N203,PCT012N204,PCT012N205,PCT012N206,PCT012N207,PCT012N208,PCT012N209
uSF1,TX,000,36,602162,1540,791,29,28,28,21,25,28,26,21,22,19,19,19,23,16,20,10,12,15,11,17,7,11,12,17,10,8,13,10,12,11,19,8,13,9,8,15,13,6,9,11,9,17,11,10,13,8,8,11,3,4,7,4,4,8,3,9,4,0,3,1,2,2,1,1,2,1,2,2,1,2,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,29,20,25,29,26,25,26,19,10,15,13,21,18,19,11,20,12,11,20,4,6,10,13,5,16,12,15,20,11,8,13,10,13,11,8,10,10,15,11,7,10,9,10,13,7,5,11,8,8,5,3,4,2,5,3,2,6,7,2,1,1,6,1,1,1,2,1,2,2,2,2,1,0,0,0,1,0,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,602163,495,257,5,10,11,8,5,14,6,5,9,8,3,5,10,4,6,5,6,3,4,4,3,4,4,6,7,6,5,5,4,4,8,4,3,3,2,7,5,0,2,4,3,4,3,1,3,2,1,2,1,4,1,1,1,2,1,3,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,11,6,8,11,8,4,8,9,4,5,8,7,5,4,2,8,6,3,3,2,2,4,4,1,11,6,5,9,3,3,5,4,1,4,2,4,2,6,3,0,3,3,2,3,1,1,2,1,1,3,1,1,1,2,1,0,2,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,607260,582,300,15,9,9,6,10,10,9,8,8,5,11,13,3,6,9,3,4,10,3,7,1,3,7,5,3,1,5,3,6,5,8,3,4,5,4,1,4,4,4,2,5,6,4,5,7,3,5,2,2,0,3,1,2,4,0,4,1,0,1,0,0,2,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,8,8,9,9,6,13,9,7,2,7,0,8,4,8,3,8,2,3,15,0,1,6,6,2,3,1,6,7,4,3,5,4,5,5,4,4,3,7,6,3,4,3,5,8,5,2,5,2,3,1,0,2,0,0,1,1,3,5,1,0,0,3,0,1,0,2,0,1,1,2,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,621345,463,234,9,9,8,7,10,4,11,8,5,6,5,1,10,6,5,2,2,2,4,6,3,4,1,6,0,1,3,2,2,2,3,1,6,1,2,7,4,2,3,5,1,7,4,4,3,3,2,7,0,0,3,2,1,2,2,2,2,0,1,0,2,0,0,0,0,1,2,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,10,6,8,9,12,8,9,3,4,3,5,6,9,7,6,4,4,5,2,2,3,0,3,2,2,5,4,4,4,2,3,2,7,2,2,2,5,2,2,4,3,3,3,2,1,2,4,5,4,1,2,1,1,3,1,1,1,1,1,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627593,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
