FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT012O001,PCT012O002,PCT012O003,PCT012O004,PCT012O005,PCT012O006,PCT012O007,PCT012O008,PCT012O009,PCT012O010,PCT012O011,PCT012O012,PCT012O013,PCT012O014,PCT012O015,PCT012O016,PCT012O017,PCT012O018,PCT012O019,PCT012O020,PCT012O021,PCT012O022,PCT012O023,PCT012O024,PCT012O025,PCT012O026,PCT012O027,PCT012O028,PCT012O029,PCT012O030,PCT012O031,PCT012O032,PCT012O033,PCT012O034,PCT012O035,PCT012O036,PCT012O037,PCT012O038,PCT012O039,PCT012O040,PCT012O041,PCT012O042,PCT012O043,PCT012O044,PCT012O045,PCT012O046,PCT012O047,PCT012O048,PCT012O049,PCT012O050,PCT012O051,PCT012O052,PCT012O053,PCT012O054,PCT012O055,PCT012O056,PCT012O057,PCT012O058,PCT012O059,PCT012O060,PCT012O061,PCT012O062,PCT012O063,PCT012O064,PCT012O065,PCT012O066,PCT012O067,PCT012O068,PCT012O069,PCT012O070,PCT012O071,PCT012O072,PCT012O073,PCT012O074,PCT012O075,PCT012O076,PCT012O077,PCT012O078,PCT012O079,PCT012O080,PCT012O081,PCT012O082,PCT012O083,PCT012O084,PCT012O085,PCT012O086,PCT012O087,PCT012O088,PCT012O089,PCT012O090,PCT012O091,PCT012O092,PCT012O093,PCT012O094,PCT012O095,PCT012O096,PCT012O097,PCT012O098,PCT012O099,PCT012O100,PCT012O101,PCT012O102,PCT012O103,PCT012O104,PCT012O105,PCT012O106,PCT012O107,PCT012O108,PCT012O109,PCT012O110,PCT012O111,PCT012O112,PCT012O113,PCT012O114,PCT012O115,PCT012O116,PCT012O117,PCT012O118,PCT012O119,PCT012O120,PCT012O121,PCT012O122,PCT012O123,PCT012O124,PCT012O125,PCT012O126,PCT012O127,PCT012O128,PCT012O129,PCT012O130,PCT012O131,PCT012O132,PCT012O133,PCT012O134,PCT012O135,PCT012O136,PCT012O137,PCT012O138,PCT012O139,PCT012O140,PCT012O141,PCT012O142,PCT012O143,PCT012O144,PCT012O145,PCT012O146,PCT012O147,PCT012O148,PCT012O149,PCT012O150,PCT012O151,PCT012O152,PCT012O153,PCT012O154,PCT012O155,PCT012O156,PCT012O157,PCT012O158,PCT012O159,PCT012O160,PCT012O161,PCT012O162,PCT012O163,PCT012O164,PCT012O165,PCT012O166,PCT012O167,PCT012O168,PCT012O169,PCT012O170,PCT012O171,PCT012O172,PCT012O173,PCT012O174,PCT012O175,PCT012O176,PCT012O177,PCT012O178,PCT012O179,PCT012O180,PCT012O181,PCT012O182,PCT012O183,PCT012O184,PCT012O185,PCT012O186,PCT012O187,PCT012O188,PCT012O189,PCT012O190,PCT012O191,PCT012O192,PCT012O193,PCT012O194,PCT012O195,PCT012O196,PCT012O197,PCT012O198,PCT012O199,PCT012O200,PCT012O201,PCT012O202,PCT012O203,PCT012O204,PCT012O205,PCT012O206,PCT012O207,PCT012O208,PCT012O209
uSF1,TX,000,36,602162,21353,10758,373,357,349,299,308,305,261,275,249,252,261,224,205,213,179,174,187,158,150,133,146,149,166,167,141,154,143,165,158,177,188,151,154,122,165,202,179,164,152,152,181,135,167,150,138,114,137,89,103,102,97,94,89,65,79,69,66,68,51,45,52,33,35,36,41,40,40,29,30,34,32,30,19,16,13,20,11,18,9,18,13,14,3,7,2,4,5,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,10595,338,347,334,287,286,285,279,264,229,239,216,204,218,212,191,191,160,176,184,148,137,144,157,159,169,166,165,186,149,192,148,158,143,135,132,173,150,132,152,142,138,136,126,111,127,123,107,97,99,97,79,97,92,80,76,68,65,68,65,55,53,50,47,57,36,38,35,37,46,33,39,31,39,24,27,32,16,15,20,21,11,16,12,15,12,4,7,7,5,8,5,4,3,2,2,1,2,0,0,0,0,0,0
uSF1,TX,000,36,602163,7438,3777,144,132,129,110,121,101,89,100,80,95,82,89,87,71,66,62,68,57,57,45,41,46,74,63,49,61,61,62,62,65,82,62,39,48,57,65,52,43,52,59,59,46,61,48,60,36,50,25,37,31,31,23,33,15,24,23,22,17,16,11,19,11,11,9,9,11,13,4,8,13,14,14,5,5,6,1,1,8,0,9,4,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3661,123,136,111,96,114,96,99,90,77,85,74,72,65,72,64,63,52,60,66,52,55,61,64,68,70,63,65,74,62,74,65,54,60,50,52,57,47,44,46,48,41,43,47,36,44,34,45,34,30,37,27,31,33,22,19,23,21,18,12,14,14,18,16,15,7,11,5,10,14,15,14,4,12,2,3,8,4,3,10,5,1,1,3,1,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,607260,7986,3983,143,135,125,113,114,112,105,96,93,78,113,67,53,75,69,66,60,60,57,54,67,58,61,52,55,56,48,63,46,61,66,53,74,34,62,66,71,68,53,47,73,45,52,54,45,49,39,31,34,49,39,35,34,28,30,26,31,34,21,15,20,9,16,14,19,23,16,16,10,14,10,9,6,5,1,16,9,8,5,7,7,10,2,4,2,3,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4003,125,120,126,125,100,97,113,101,79,86,73,75,91,73,61,74,58,67,79,61,55,46,60,55,54,60,56,71,52,74,42,71,38,42,44,61,52,43,59,54,57,45,38,41,43,57,44,35,37,33,30,36,26,38,34,32,31,31,27,24,23,17,19,24,15,18,21,17,23,12,18,18,21,17,15,14,3,8,9,9,7,10,5,11,6,1,6,4,2,5,3,2,2,2,2,0,2,0,0,0,0,0,0
uSF1,TX,000,36,621345,5929,2998,86,90,95,76,73,92,67,79,76,79,66,68,65,67,44,46,59,41,36,34,38,45,31,52,37,37,34,40,50,51,40,36,41,40,46,71,56,53,47,46,49,44,54,48,33,29,48,33,32,22,27,36,22,22,25,20,13,17,14,19,13,13,8,13,13,6,11,9,12,7,8,7,8,6,6,3,1,2,4,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2931,90,91,97,66,72,92,67,73,73,68,69,57,62,67,66,54,50,49,39,35,27,37,33,36,45,43,44,41,35,44,41,33,45,43,36,55,51,45,47,40,40,48,41,34,40,32,18,28,32,27,22,30,33,20,23,13,13,19,26,17,16,15,12,18,14,9,9,10,9,6,7,9,6,5,9,10,9,4,1,7,3,5,4,3,3,1,1,2,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0
uSF1,TX,000,36,627593,91,50,2,0,2,0,1,0,0,2,0,2,2,1,0,0,0,2,0,0,2,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,2,1,2,1,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,2,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,2,3,0,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,2,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,34,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,14,9,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,19,13,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,35,16,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
