FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT013F001,PCT013F002,PCT013F003,PCT013F004,PCT013F005,PCT013F006,PCT013F007,PCT013F008,PCT013F009,PCT013F010,PCT013F011,PCT013F012,PCT013F013,PCT013F014,PCT013F015,PCT013F016,PCT013F017,PCT013F018,PCT013F019,PCT013F020,PCT013F021,PCT013F022,PCT013F023,PCT013F024,PCT013F025,PCT013F026,PCT013F027,PCT013F028,PCT013F029,PCT013F030,PCT013F031,PCT013F032,PCT013F033,PCT013F034,PCT013F035,PCT013F036,PCT013F037,PCT013F038,PCT013F039,PCT013F040,PCT013F041,PCT013F042,PCT013F043,PCT013F044,PCT013F045,PCT013F046,PCT013F047,PCT013F048,PCT013F049,PCT013G001,PCT013G002,PCT013G003,PCT013G004,PCT013G005,PCT013G006,PCT013G007,PCT013G008,PCT013G009,PCT013G010,PCT013G011,PCT013G012,PCT013G013,PCT013G014,PCT013G015,PCT013G016,PCT013G017,PCT013G018,PCT013G019,PCT013G020,PCT013G021,PCT013G022,PCT013G023,PCT013G024,PCT013G025,PCT013G026,PCT013G027,PCT013G028,PCT013G029,PCT013G030,PCT013G031,PCT013G032,PCT013G033,PCT013G034,PCT013G035,PCT013G036,PCT013G037,PCT013G038,PCT013G039,PCT013G040,PCT013G041,PCT013G042,PCT013G043,PCT013G044,PCT013G045,PCT013G046,PCT013G047,PCT013G048,PCT013G049,PCT013H001,PCT013H002,PCT013H003,PCT013H004,PCT013H005,PCT013H006,PCT013H007,PCT013H008,PCT013H009,PCT013H010,PCT013H011,PCT013H012,PCT013H013,PCT013H014,PCT013H015,PCT013H016,PCT013H017,PCT013H018,PCT013H019,PCT013H020,PCT013H021,PCT013H022,PCT013H023,PCT013H024,PCT013H025,PCT013H026,PCT013H027,PCT013H028,PCT013H029,PCT013H030,PCT013H031,PCT013H032,PCT013H033,PCT013H034,PCT013H035,PCT013H036,PCT013H037,PCT013H038,PCT013H039,PCT013H040,PCT013H041,PCT013H042,PCT013H043,PCT013H044,PCT013H045,PCT013H046,PCT013H047,PCT013H048,PCT013H049,PCT013I001,PCT013I002,PCT013I003,PCT013I004,PCT013I005,PCT013I006,PCT013I007,PCT013I008,PCT013I009,PCT013I010,PCT013I011,PCT013I012,PCT013I013,PCT013I014,PCT013I015,PCT013I016,PCT013I017,PCT013I018,PCT013I019,PCT013I020,PCT013I021,PCT013I022,PCT013I023,PCT013I024,PCT013I025,PCT013I026,PCT013I027,PCT013I028,PCT013I029,PCT013I030,PCT013I031,PCT013I032,PCT013I033,PCT013I034,PCT013I035,PCT013I036,PCT013I037,PCT013I038,PCT013I039,PCT013I040,PCT013I041,PCT013I042,PCT013I043,PCT013I044,PCT013I045,PCT013I046,PCT013I047,PCT013I048,PCT013I049,PCT015A001,PCT015A002,PCT015A003,PCT015A004,PCT015A005,PCT015A006,PCT015A007,PCT015A008,PCT015A009,PCT015A010,PCT015A011,PCT015A012,PCT015A013,PCT015B001,PCT015B002,PCT015B003,PCT015B004,PCT015B005,PCT015B006,PCT015B007,PCT015B008,PCT015B009,PCT015B010,PCT015B011,PCT015B012,PCT015B013,PCT015C001,PCT015C002,PCT015C003,PCT015C004,PCT015C005,PCT015C006,PCT015C007,PCT015C008,PCT015C009,PCT015C010,PCT015C011,PCT015C012,PCT015C013
uSF1,TX,000,36,602162,131004,69811,8045,6902,5998,3808,2992,1641,1657,5202,8273,7060,6115,4321,2899,1925,1193,327,409,194,230,315,176,76,53,61193,7570,6732,6094,3502,2373,1300,1329,4025,6624,5894,4702,3557,2525,1793,1111,338,406,225,298,369,236,128,62,35915,18367,2995,2327,1817,913,516,279,278,908,1498,1516,1425,1200,829,619,428,118,157,101,124,147,100,51,21,17548,2828,2226,1775,908,537,237,270,875,1513,1314,1208,1013,776,608,434,147,189,98,150,190,118,74,60,282407,148840,17663,15431,13178,7925,6112,3191,3249,9913,16407,14872,12822,9172,6388,4544,2909,893,1074,621,695,882,511,240,148,133567,16803,15022,12841,7135,4824,2529,2525,8083,13861,12428,10392,7922,5945,4314,2912,918,1168,666,836,1094,733,360,256,880616,431478,28925,30671,31695,18150,9962,4850,4720,15163,30973,33439,39675,40602,34573,31072,22738,6990,9082,5344,7456,10372,8050,4620,2356,449138,27619,29358,30015,17301,10145,4887,4942,16524,31548,33617,40089,40319,35898,31925,23377,7248,9941,6145,8811,13767,12253,7469,5940,46451,16969,2425,3573,6759,395,3817,29482,3427,12195,10732,102,3026,8710,4589,395,729,2332,277,856,4121,540,1471,1500,55,555,558,281,42,47,129,12,51,277,25,108,104,3,37
uSF1,TX,000,36,602163,34498,18608,2163,1813,1359,908,785,469,473,1595,2474,2092,1696,1073,690,428,260,66,80,47,40,46,35,9,7,15890,2072,1812,1440,794,649,350,391,1134,1991,1675,1244,839,545,387,219,68,82,31,56,49,28,24,10,11327,5754,1035,710,587,280,154,77,82,298,494,490,421,398,240,163,107,35,40,31,28,48,24,8,4,5573,960,717,551,263,179,83,100,325,518,439,378,300,226,177,114,41,50,19,44,40,31,9,9,71004,37478,4591,3888,2944,1753,1550,836,868,2767,4555,4134,3343,2180,1491,1033,611,194,217,133,113,128,90,40,19,33526,4443,3839,3029,1599,1274,656,699,2194,3975,3325,2693,1882,1315,959,635,193,213,97,156,140,110,54,46,246053,122259,8317,8778,8824,5216,2985,1436,1460,4730,9783,10303,11529,11301,9397,8765,6272,1961,2380,1412,1810,2490,1838,861,411,123794,7849,8257,8521,4732,2987,1473,1471,4974,9696,10082,11376,10911,9980,8893,6465,1860,2552,1569,2130,3068,2481,1358,1109,13543,4519,600,1018,1865,95,941,9024,998,3954,3220,23,829,2828,1373,107,240,751,52,223,1455,175,653,482,10,135,164,61,10,11,26,3,11,103,14,46,28,3,12
uSF1,TX,000,36,607260,79911,42360,4946,4283,3905,2425,1824,979,984,2941,4646,4005,3567,2666,1824,1278,804,225,295,123,166,242,131,61,40,37551,4650,4129,3927,2315,1467,788,787,2364,3761,3400,2726,2169,1616,1188,759,228,284,169,212,286,188,94,44,16145,8314,1290,1044,781,406,252,145,135,437,674,707,641,502,374,287,217,55,77,53,63,62,62,34,16,7831,1216,978,764,423,248,114,112,379,687,576,501,439,372,262,217,70,86,57,77,111,55,49,38,169883,89685,10622,9431,8292,4993,3731,1947,1934,5807,9401,8500,7437,5530,3904,2813,1876,569,703,410,480,653,366,176,110,80198,10055,9095,7954,4549,2890,1540,1505,4803,7916,7145,5854,4612,3586,2642,1846,586,788,474,559,821,544,259,175,314062,151749,9471,9356,9811,5595,3221,1793,1822,5835,11350,11269,12828,13443,11950,10606,8250,2632,3697,2271,3348,4939,4198,2689,1375,162313,9030,8929,9105,5445,3469,1933,1996,6606,11360,11053,12677,13346,12059,11233,8859,2965,4238,2669,4082,6947,6530,4327,3455,20131,7784,1165,1603,2957,174,1885,12347,1565,5147,4214,62,1359,5154,2900,256,426,1435,187,596,2254,310,641,881,41,381,256,144,21,29,56,4,34,112,9,36,48,0,19
uSF1,TX,000,36,621345,16595,8843,936,806,734,475,383,193,200,666,1153,963,852,582,385,219,129,36,34,24,24,27,10,6,6,7752,848,791,727,393,257,162,151,527,872,819,732,549,364,218,133,42,40,25,30,34,20,10,8,8443,4299,670,573,449,227,110,57,61,173,330,319,363,300,215,169,104,28,40,17,33,37,14,9,1,4144,652,531,460,222,110,40,58,171,308,299,329,274,178,169,103,36,53,22,29,39,32,16,13,41520,21677,2450,2112,1942,1179,831,408,447,1339,2451,2238,2042,1462,993,698,422,130,154,78,102,101,55,24,19,19843,2305,2088,1858,987,660,333,321,1086,1970,1958,1845,1428,1044,713,431,139,167,95,121,133,79,47,35,320501,157470,11137,12537,13060,7339,3756,1621,1438,4598,9840,11867,15318,15858,13226,11701,8216,2397,3005,1661,2298,2943,2014,1070,570,163031,10740,12172,12389,7124,3689,1481,1475,4944,10492,12482,16036,16062,13859,11799,8053,2423,3151,1907,2599,3752,3242,1784,1376,12777,4666,660,952,1937,126,991,8111,864,3094,3298,17,838,728,316,32,63,146,38,37,412,55,177,137,4,39,138,76,11,7,47,5,6,62,2,26,28,0,6
uSF1,TX,000,36,627593,1221,684,69,68,49,29,28,16,14,58,85,73,73,50,29,17,12,3,6,0,2,1,0,2,0,537,58,69,59,33,20,8,9,31,55,51,44,28,26,17,13,2,1,1,2,2,3,2,3,223,130,18,11,8,6,4,4,3,6,5,13,19,5,5,9,6,2,2,0,0,1,1,1,1,93,8,16,7,3,2,1,2,6,9,4,8,7,5,2,5,0,1,1,2,1,0,1,2,2593,1427,174,149,112,67,47,34,33,103,165,148,141,76,65,43,31,9,13,6,4,4,1,2,0,1166,145,164,115,57,38,17,20,80,129,100,86,61,49,39,29,4,4,4,6,4,6,5,4,2110,978,47,57,46,30,22,12,12,23,50,64,74,90,89,68,57,17,21,8,26,45,47,55,18,1132,44,36,54,37,22,8,6,36,54,55,73,79,79,96,52,19,35,16,33,67,94,78,59,166,82,17,17,22,1,25,84,18,23,30,0,13,8,4,0,2,1,0,1,4,2,1,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1
uSF1,TX,000,36,627600,1508,840,109,80,57,55,41,22,28,72,114,73,62,36,34,28,12,3,4,3,4,1,1,0,1,668,92,74,59,49,25,15,16,44,81,65,45,37,26,14,9,2,5,2,3,3,2,0,0,201,119,12,13,7,4,3,5,3,12,8,14,8,10,9,3,5,0,1,2,0,0,0,0,0,82,13,8,4,5,7,2,1,3,11,4,5,5,5,3,2,0,0,1,0,1,0,1,1,2893,1581,194,162,118,104,70,38,44,120,196,150,113,89,64,50,30,8,9,6,4,8,2,1,1,1312,171,155,130,81,54,27,26,80,140,125,94,65,54,31,29,9,13,4,9,7,4,3,1,1972,947,45,43,36,19,14,7,7,25,48,76,89,105,79,93,60,18,33,16,24,30,32,31,17,1025,40,39,28,14,17,8,8,30,76,65,69,70,90,96,58,18,37,18,31,32,70,51,60,179,96,12,25,21,2,36,83,23,21,30,0,9,3,2,1,0,1,0,0,1,0,0,1,0,0,3,1,0,0,0,0,1,2,0,0,2,0,0
uSF1,TX,000,36,627607,1361,721,76,73,89,40,33,17,22,41,56,65,72,50,30,20,7,3,11,2,4,4,3,2,1,640,76,83,79,52,25,8,9,36,57,53,45,38,22,23,8,7,5,1,2,3,4,1,3,138,76,4,6,4,3,9,2,2,6,7,4,8,2,6,1,3,3,1,0,3,0,0,2,0,62,4,3,13,3,5,0,1,3,2,6,4,5,5,3,1,2,1,0,0,0,0,0,1,3473,1901,203,190,184,104,104,56,46,125,184,159,171,116,85,52,30,12,23,12,10,14,9,9,3,1572,182,183,168,109,66,25,31,73,145,136,122,86,71,52,40,20,14,7,7,14,9,7,5,490,217,13,12,12,6,5,3,0,5,11,16,15,15,20,19,10,4,7,3,8,11,10,10,2,273,9,9,4,12,2,5,4,3,11,11,21,15,14,19,17,8,11,6,13,18,21,18,22,167,108,40,15,25,1,27,59,13,33,7,0,6,3,1,0,0,1,0,0,2,0,0,2,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,2145,1193,127,117,97,70,66,33,35,87,95,108,94,72,53,45,32,8,15,3,8,13,7,6,2,952,101,86,93,73,47,23,24,54,91,66,57,51,47,53,25,9,10,5,7,10,13,4,3,225,131,21,11,13,9,3,1,4,7,10,10,13,8,3,3,6,2,1,2,3,1,0,0,0,94,9,11,9,3,2,1,3,4,9,9,8,10,4,2,4,1,0,1,1,1,0,0,2,4686,2582,284,240,240,147,144,57,61,167,212,222,223,148,118,93,79,26,27,16,27,26,12,9,4,2104,239,217,212,131,83,48,48,107,183,153,125,130,98,91,70,19,36,16,17,27,30,10,14,652,312,16,19,27,3,4,3,2,8,20,17,22,26,30,26,15,9,11,5,6,15,11,12,5,340,23,19,11,7,7,2,5,8,27,24,24,23,21,16,16,6,11,11,10,16,26,14,13,177,119,14,29,34,2,40,58,24,22,7,0,5,2,1,0,0,1,0,0,1,1,0,0,0,0,3,3,1,0,1,0,1,0,0,0,0,0,0
uSF1,TX,000,36,627618,1868,1037,97,90,98,66,36,31,29,76,113,102,80,69,50,34,32,8,9,2,3,10,2,0,0,831,110,97,86,61,44,11,18,44,75,67,60,37,31,35,12,8,6,4,5,6,9,5,0,137,69,8,8,7,5,0,0,0,10,4,9,4,3,5,1,3,0,0,0,1,1,0,0,0,68,10,8,7,4,2,1,1,3,4,10,4,2,2,3,1,1,0,1,1,3,0,0,0,3743,2047,215,192,208,140,64,57,48,144,194,197,148,128,94,59,59,17,20,10,12,22,13,4,2,1696,210,191,173,107,82,21,26,97,146,143,116,79,70,70,37,20,17,10,16,23,29,9,4,289,133,7,5,7,5,3,0,1,4,8,13,7,18,19,12,5,5,4,1,3,3,2,1,0,156,10,8,8,7,6,4,0,7,6,10,16,17,7,8,9,4,5,4,4,5,7,2,2,147,79,5,12,24,4,34,68,15,20,13,0,20,40,14,0,3,4,1,6,26,4,14,4,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0
uSF1,TX,000,36,627624,3987,2101,216,187,196,144,84,51,46,129,206,207,178,145,92,89,42,10,23,10,10,17,12,5,2,1886,202,196,207,146,74,46,47,107,134,164,136,102,91,81,50,16,18,16,11,29,8,5,0,281,137,18,8,15,6,5,2,5,6,17,17,12,11,3,2,1,3,2,2,0,2,0,0,0,144,16,10,15,11,3,2,2,6,17,6,5,9,9,9,6,1,3,1,3,5,3,1,1,7283,3834,381,373,354,241,161,86,77,239,374,355,321,267,170,148,87,33,45,21,23,38,23,9,8,3449,378,357,371,246,124,71,78,175,286,279,246,200,172,150,92,31,41,29,24,48,33,10,8,551,244,12,8,14,3,5,5,3,8,12,14,19,18,26,16,18,6,6,2,10,14,10,9,6,307,18,14,10,7,7,5,4,7,13,16,15,18,19,14,17,9,12,6,8,17,24,27,20,231,153,30,47,39,3,34,78,15,37,14,0,12,13,6,0,3,1,0,2,7,4,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
