FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT015D001,PCT015D002,PCT015D003,PCT015D004,PCT015D005,PCT015D006,PCT015D007,PCT015D008,PCT015D009,PCT015D010,PCT015D011,PCT015D012,PCT015D013,PCT015E001,PCT015E002,PCT015E003,PCT015E004,PCT015E005,PCT015E006,PCT015E007,PCT015E008,PCT015E009,PCT015E010,PCT015E011,PCT015E012,PCT015E013,PCT015F001,PCT015F002,PCT015F003,PCT015F004,PCT015F005,PCT015F006,PCT015F007,PCT015F008,PCT015F009,PCT015F010,PCT015F011,PCT015F012,PCT015F013,PCT015G001,PCT015G002,PCT015G003,PCT015G004,PCT015G005,PCT015G006,PCT015G007,PCT015G008,PCT015G009,PCT015G010,PCT015G011,PCT015G012,PCT015G013,PCT015H001,PCT015H002,PCT015H003,PCT015H004,PCT015H005,PCT015H006,PCT015H007,PCT015H008,PCT015H009,PCT015H010,PCT015H011,PCT015H012,PCT015H013,PCT015I001,PCT015I002,PCT015I003,PCT015I004,PCT015I005,PCT015I006,PCT015I007,PCT015I008,PCT015I009,PCT015I010,PCT015I011,PCT015I012,PCT015I013,PCT017A001,PCT017A002,PCT017A003,PCT017A004,PCT017A005,PCT017A006,PCT017A007,PCT017A008,PCT017A009,PCT017A010,PCT017A011,PCT017A012,PCT017A013,PCT017A014,PCT017A015,PCT017A016,PCT017A017,PCT017A018,PCT017A019,PCT017A020,PCT017A021,PCT017A022,PCT017A023,PCT017A024,PCT017A025,PCT017A026,PCT017A027,PCT017A028,PCT017A029,PCT017A030,PCT017A031,PCT017A032,PCT017A033,PCT017A034,PCT017A035,PCT017A036,PCT017A037,PCT017A038,PCT017A039,PCT017A040,PCT017A041,PCT017A042,PCT017A043,PCT017A044,PCT017A045,PCT017A046,PCT017A047,PCT017A048,PCT017A049,PCT017A050,PCT017A051,PCT017A052,PCT017A053,PCT017A054,PCT017A055,PCT017A056,PCT017A057,PCT017A058,PCT017A059,PCT017A060,PCT017A061,PCT017A062,PCT017A063,PCT017A064,PCT017A065,PCT017A066,PCT017A067,PCT017A068,PCT017A069,PCT017A070,PCT017A071,PCT017A072,PCT017A073,PCT017A074,PCT017A075,PCT017B001,PCT017B002,PCT017B003,PCT017B004,PCT017B005,PCT017B006,PCT017B007,PCT017B008,PCT017B009,PCT017B010,PCT017B011,PCT017B012,PCT017B013,PCT017B014,PCT017B015,PCT017B016,PCT017B017,PCT017B018,PCT017B019,PCT017B020,PCT017B021,PCT017B022,PCT017B023,PCT017B024,PCT017B025,PCT017B026,PCT017B027,PCT017B028,PCT017B029,PCT017B030,PCT017B031,PCT017B032,PCT017B033,PCT017B034,PCT017B035,PCT017B036,PCT017B037,PCT017B038,PCT017B039,PCT017B040,PCT017B041,PCT017B042,PCT017B043,PCT017B044,PCT017B045,PCT017B046,PCT017B047,PCT017B048,PCT017B049,PCT017B050,PCT017B051,PCT017B052,PCT017B053,PCT017B054,PCT017B055,PCT017B056,PCT017B057,PCT017B058,PCT017B059,PCT017B060,PCT017B061,PCT017B062,PCT017B063,PCT017B064,PCT017B065,PCT017B066,PCT017B067,PCT017B068,PCT017B069,PCT017B070,PCT017B071,PCT017B072,PCT017B073,PCT017B074,PCT017B075
uSF1,TX,000,36,602162,2238,791,119,206,225,16,225,1447,213,857,281,3,93,127,57,11,11,14,2,19,70,8,28,18,2,14,9863,5548,822,1364,1676,108,1578,4315,719,1947,880,28,741,1743,829,92,165,294,45,233,914,116,405,259,6,128,19708,11017,1683,2752,3355,249,2978,8691,1487,3951,1844,54,1355,37783,12210,1657,2329,5321,287,2616,25573,2738,10390,9882,78,2485,16818,7646,158,92,41,0,2,0,49,0,66,1,0,65,5867,3748,3350,314,5,7,4,68,2119,1240,133,746,1621,1482,100,1282,15,4,0,81,139,0,0,139,9172,115,36,7,0,2,0,27,0,79,2,3,74,4015,1707,1327,299,5,10,5,61,2308,1855,18,435,5042,4559,21,4379,13,6,0,140,483,0,0,483,4796,2965,98,44,22,0,1,0,21,0,54,1,0,53,2633,1967,1840,115,1,2,1,8,666,165,73,428,234,221,15,192,1,1,0,12,13,0,0,13,1831,57,5,4,0,0,0,1,0,52,2,0,50,1296,834,722,99,0,5,1,7,462,279,11,172,478,462,13,427,1,1,0,20,16,0,0,16
uSF1,TX,000,36,602163,1211,328,50,93,93,5,87,883,127,580,134,0,42,33,15,3,1,5,0,6,18,1,6,7,1,3,3111,1618,219,457,490,27,425,1493,243,719,300,11,220,559,236,27,57,87,15,50,323,27,173,89,0,34,5747,2936,405,792,940,68,731,2811,469,1364,603,13,362,11258,3396,437,731,1490,63,675,7862,790,3388,2957,21,706,2321,880,47,4,2,0,2,0,0,0,43,1,0,42,587,197,163,26,3,0,0,5,390,255,0,135,246,217,1,192,9,0,0,15,29,0,0,29,1441,36,2,0,0,2,0,0,0,34,0,0,34,456,90,52,28,4,0,0,6,366,233,0,133,949,800,0,757,8,0,0,35,149,0,0,149,561,275,14,2,1,0,1,0,0,0,12,1,0,11,249,111,107,3,0,0,0,1,138,102,0,36,12,10,0,9,1,0,0,0,2,0,0,2,286,31,0,0,0,0,0,0,0,31,0,0,31,230,34,24,9,0,0,0,1,196,169,0,27,25,23,0,23,0,0,0,0,2,0,0,2
uSF1,TX,000,36,607260,577,265,38,71,71,2,83,312,52,157,72,0,31,50,24,5,7,2,1,9,26,4,14,3,1,4,5342,3244,474,713,994,61,1002,2098,389,879,412,16,402,843,454,52,79,162,22,139,389,58,159,103,6,63,10903,6625,1040,1548,1991,130,1916,4278,810,1801,869,37,761,15203,4822,660,844,2091,121,1106,10381,1182,4310,3805,43,1041,12507,6296,86,64,39,0,0,0,25,0,22,0,0,22,5193,3513,3174,264,2,7,3,63,1680,985,133,562,1017,937,98,764,6,4,0,65,80,0,0,80,6211,57,13,7,0,0,0,6,0,44,2,3,39,3466,1567,1270,230,1,10,1,55,1899,1622,18,259,2688,2462,21,2326,5,6,0,104,226,0,0,226,4194,2674,84,42,21,0,0,0,21,0,42,0,0,42,2374,1852,1731,110,1,2,1,7,522,63,73,386,216,205,15,177,0,1,0,12,11,0,0,11,1520,25,4,4,0,0,0,0,0,21,2,0,19,1054,798,697,89,0,5,1,6,256,110,11,135,441,427,13,392,1,1,0,20,14,0,0,14
uSF1,TX,000,36,621345,450,198,31,42,61,9,55,252,34,120,75,3,20,44,18,3,3,7,1,4,26,3,8,8,0,7,1410,686,129,194,192,20,151,724,87,349,168,1,119,341,139,13,29,45,8,44,202,31,73,67,0,31,3058,1456,238,412,424,51,331,1602,208,786,372,4,232,11322,3992,560,754,1740,103,835,7330,766,2692,3120,14,738,1990,470,25,24,0,0,0,0,24,0,1,0,0,1,87,38,13,24,0,0,1,0,49,0,0,49,358,328,1,326,0,0,0,1,30,0,0,30,1520,22,21,0,0,0,0,21,0,1,0,0,1,93,50,5,41,0,0,4,0,43,0,0,43,1405,1297,0,1296,0,0,0,1,108,0,0,108,41,16,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,2,0,0,0,0,6,0,0,6,6,6,0,6,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,1,0,0,0,0,0,12,2,1,1,0,0,0,0,10,0,0,10,12,12,0,12,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627593,23,13,0,7,2,0,4,10,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102,69,17,14,20,0,18,33,10,9,5,0,9,13,6,0,2,3,0,1,7,3,1,1,0,2,181,125,31,27,35,0,32,56,22,13,10,0,11,96,31,3,6,10,1,11,65,9,20,25,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,5,3,1,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,50,5,10,15,0,20,31,1,17,8,0,5,23,6,1,0,4,0,1,17,1,13,2,0,1,176,114,12,27,31,1,43,62,12,30,14,0,6,103,38,6,8,8,1,15,65,12,19,25,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,53,8,12,13,1,19,15,4,6,2,0,3,11,5,1,0,2,0,2,6,1,5,0,0,0,219,159,52,26,35,1,45,60,14,34,4,0,8,31,12,3,1,5,1,2,19,3,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,162,105,9,25,20,0,51,57,4,23,10,0,20,10,6,1,2,1,0,2,4,0,1,0,1,2,309,203,22,54,46,0,81,106,28,38,12,1,27,40,27,2,2,10,2,11,13,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,105,11,33,20,0,41,79,2,28,13,1,35,5,5,0,2,1,0,2,0,0,0,0,0,0,325,181,15,46,42,4,74,144,17,59,19,1,48,27,8,1,1,3,0,3,19,2,2,7,0,8,65,25,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,6,0,0,0,3,0,0,0,0,16,16,0,13,0,0,0,3,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,34,34,0,34,0,0,0,0,0,0,0,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,177,31,40,30,0,76,83,23,34,6,0,20,20,16,3,3,4,1,5,4,4,0,0,0,0,481,330,61,87,70,3,109,151,40,69,14,0,28,32,16,3,3,3,1,6,16,4,2,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
