FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT017I001,PCT017I002,PCT017I003,PCT017I004,PCT017I005,PCT017I006,PCT017I007,PCT017I008,PCT017I009,PCT017I010,PCT017I011,PCT017I012,PCT017I013,PCT017I014,PCT017I015,PCT017I016,PCT017I017,PCT017I018,PCT017I019,PCT017I020,PCT017I021,PCT017I022,PCT017I023,PCT017I024,PCT017I025,PCT017I026,PCT017I027,PCT017I028,PCT017I029,PCT017I030,PCT017I031,PCT017I032,PCT017I033,PCT017I034,PCT017I035,PCT017I036,PCT017I037,PCT017I038,PCT017I039,PCT017I040,PCT017I041,PCT017I042,PCT017I043,PCT017I044,PCT017I045,PCT017I046,PCT017I047,PCT017I048,PCT017I049,PCT017I050,PCT017I051,PCT017I052,PCT017I053,PCT017I054,PCT017I055,PCT017I056,PCT017I057,PCT017I058,PCT017I059,PCT017I060,PCT017I061,PCT017I062,PCT017I063,PCT017I064,PCT017I065,PCT017I066,PCT017I067,PCT017I068,PCT017I069,PCT017I070,PCT017I071,PCT017I072,PCT017I073,PCT017I074,PCT017I075
uSF1,TX,000,36,602162,14637,6225,116,62,21,0,2,0,39,0,54,0,0,54,4552,2601,2230,294,4,7,2,64,1951,1164,117,670,1557,1421,77,1247,14,4,0,79,136,0,0,136,8412,105,35,6,0,2,0,27,0,70,2,2,66,3358,1144,786,281,4,9,5,59,2214,1788,16,410,4949,4477,9,4310,12,6,0,140,472,0,0,472
uSF1,TX,000,36,602163,2209,816,39,4,2,0,2,0,0,0,35,0,0,35,536,187,155,24,3,0,0,5,349,224,0,125,241,212,1,188,8,0,0,15,29,0,0,29,1393,33,2,0,0,2,0,0,0,31,0,0,31,426,84,49,25,4,0,0,6,342,216,0,126,934,788,0,745,8,0,0,35,146,0,0,146
uSF1,TX,000,36,607260,10471,4955,52,34,19,0,0,0,15,0,18,0,0,18,3937,2383,2069,246,1,7,1,59,1554,940,117,497,966,889,76,740,6,4,0,63,77,0,0,77,5516,50,12,6,0,0,0,6,0,38,2,2,34,2845,1014,735,216,0,9,1,53,1831,1572,16,243,2621,2401,9,2278,4,6,0,104,220,0,0,220
uSF1,TX,000,36,621345,1957,454,25,24,0,0,0,0,24,0,1,0,0,1,79,31,6,24,0,0,1,0,48,0,0,48,350,320,0,319,0,0,0,1,30,0,0,30,1503,22,21,0,0,0,0,21,0,1,0,0,1,87,46,2,40,0,0,4,0,41,0,0,41,1394,1288,0,1287,0,0,0,1,106,0,0,106
uSF1,TX,000,36,627593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627618,63,25,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,6,0,0,0,3,0,0,0,0,16,16,0,13,0,0,0,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,33,33,0,33,0,0,0,0,0,0,0,0
uSF1,TX,000,36,627624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
